Series ID,Year,Period,Label,Value
CES3000000001,2012,M01,2012 Jan,11838
CES3000000001,2012,M02,2012 Feb,11860
CES3000000001,2012,M03,2012 Mar,11898
CES3000000001,2012,M04,2012 Apr,11916
CES3000000001,2012,M05,2012 May,11927
CES3000000001,2012,M06,2012 Jun,11936
CES3000000001,2012,M07,2012 Jul,11964
CES3000000001,2012,M08,2012 Aug,11960
CES3000000001,2012,M09,2012 Sep,11954
CES3000000001,2012,M10,2012 Oct,11961
CES3000000001,2012,M11,2012 Nov,11950
CES3000000001,2012,M12,2012 Dec,11960
CES3000000001,2013,M01,2013 Jan,11983
CES3000000001,2013,M02,2013 Feb,11996
CES3000000001,2013,M03,2013 Mar,11999
CES3000000001,2013,M04,2013 Apr,12000
CES3000000001,2013,M05,2013 May,12000
CES3000000001,2013,M06,2013 Jun,12004
CES3000000001,2013,M07,2013 Jul,11984
CES3000000001,2013,M08,2013 Aug,12014
CES3000000001,2013,M09,2013 Sep,12032
CES3000000001,2013,M10,2013 Oct,12056
CES3000000001,2013,M11,2013 Nov,12079
CES3000000001,2013,M12,2013 Dec,12083
CES3000000001,2014,M01,2014 Jan,12081
CES3000000001,2014,M02,2014 Feb,12106
CES3000000001,2014,M03,2014 Mar,12120
CES3000000001,2014,M04,2014 Apr,12134
CES3000000001,2014,M05,2014 May,12146
CES3000000001,2014,M06,2014 Jun,12170
CES3000000001,2014,M07,2014 Jul,12189
CES3000000001,2014,M08,2014 Aug,12208
CES3000000001,2014,M09,2014 Sep,12226
CES3000000001,2014,M10,2014 Oct,12259
CES3000000001,2014,M11,2014 Nov,12284
CES3000000001,2014,M12,2014 Dec,12292
CES3000000001,2015,M01,2015 Jan,12292
CES3000000001,2015,M02,2015 Feb,12301
CES3000000001,2015,M03,2015 Mar,12312
CES3000000001,2015,M04,2015 Apr,12318
CES3000000001,2015,M05,2015 May,12333
CES3000000001,2015,M06,2015 Jun,12334
CES3000000001,2015,M07,2015 Jul,12349
CES3000000001,2015,M08,2015 Aug,12345
CES3000000001,2015,M09,2015 Sep,12354
CES3000000001,2015,M10,2015 Oct,12362
CES3000000001,2015,M11,2015 Nov,12357
CES3000000001,2015,M12,2015 Dec,12362
CES3000000001,2016,M01,2016 Jan,12383
CES3000000001,2016,M02,2016 Feb,12365
CES3000000001,2016,M03,2016 Mar,12342
CES3000000001,2016,M04,2016 Apr,12353
CES3000000001,2016,M05,2016 May,12332
CES3000000001,2016,M06,2016 Jun,12350
CES3000000001,2016,M07,2016 Jul,12372
CES3000000001,2016,M08,2016 Aug,12348
CES3000000001,2016,M09,2016 Sep,12347
CES3000000001,2016,M10,2016 Oct,12345
CES3000000001,2016,M11,2016 Nov,12342
CES3000000001,2016,M12,2016 Dec,12355
CES3000000001,2017,M01,2017 Jan,12366
CES3000000001,2017,M02,2017 Feb,12380
CES3000000001,2017,M03,2017 Mar,12393
CES3000000001,2017,M04,2017 Apr,12400
CES3000000001,2017,M05,2017 May,12409
CES3000000001,2017,M06,2017 Jun,12422
CES3000000001,2017,M07,2017 Jul,12423
CES3000000001,2017,M08,2017 Aug,12467
CES3000000001,2017,M09,2017 Sep,12477
CES3000000001,2017,M10,2017 Oct,12490
CES3000000001,2017,M11,2017 Nov,12505
CES3000000001,2017,M12,2017 Dec,12533
CES3000000001,2018,M01,2018 Jan,12556
CES3000000001,2018,M02,2018 Feb,12582
CES3000000001,2018,M03,2018 Mar,12608
CES3000000001,2018,M04,2018 Apr,12632
CES3000000001,2018,M05,2018 May,12661
CES3000000001,2018,M06,2018 Jun,12693
CES3000000001,2018,M07,2018 Jul,12714
CES3000000001,2018,M08,2018 Aug,12724
CES3000000001,2018,M09,2018 Sep,12743
CES3000000001,2018,M10,2018 Oct,12762
CES3000000001,2018,M11,2018 Nov,12774
CES3000000001,2018,M12,2018 Dec,12793
CES3000000001,2019,M01,2019 Jan,12822
CES3000000001,2019,M02,2019 Feb,12821
CES3000000001,2019,M03,2019 Mar,12819
CES3000000001,2019,M04,2019 Apr,12824
CES3000000001,2019,M05,2019 May,12821
CES3000000001,2019,M06,2019 Jun,12829
CES3000000001,2019,M07,2019 Jul,12832
CES3000000001,2019,M08,2019 Aug,12827
CES3000000001,2019,M09,2019 Sep,12820
CES3000000001,2019,M10,2019 Oct,12764
CES3000000001,2019,M11,2019 Nov,12812
CES3000000001,2019,M12,2019 Dec,12795
CES3000000001,2020,M01,2020 Jan,12784
CES3000000001,2020,M02,2020 Feb,12785
CES3000000001,2020,M03,2020 Mar,12717
CES3000000001,2020,M04,2020 Apr,11423
CES3000000001,2020,M05,2020 May,11656
CES3000000001,2020,M06,2020 Jun,11990
CES3000000001,2020,M07,2020 Jul,12025
CES3000000001,2020,M08,2020 Aug,12050
CES3000000001,2020,M09,2020 Sep,12095
CES3000000001,2020,M10,2020 Oct,12122
CES3000000001,2020,M11,2020 Nov,12157
CES3000000001,2020,M12,2020 Dec,12190
CES3000000001,2021,M01,2021 Jan,12184
CES3000000001,2021,M02,2021 Feb,12222
CES3000000001,2021,M03,2021 Mar,12268
CES3000000001,2021,M04,2021 Apr,12240
CES3000000001,2021,M05,2021 May,12268
CES3000000001,2021,M06,2021 Jun,12288
CES3000000001,2021,M07,2021 Jul,12350
CES3000000001,2021,M08,2021 Aug,12391
CES3000000001,2021,M09,2021 Sep,12413
CES3000000001,2021,M10,2021 Oct,12466
CES3000000001,2021,M11,2021 Nov,12514
CES3000000001,2021,M12,2021 Dec,12546
CES3000000001,2022,M01,2022 Jan,12559
